"","GEOID","Stabr","Unemployment_rate_2008","Unemployment_rate_2012","Unemployment_rate_2016","state","county","party","candidate_2008","voterate_2008","candidate_2012","voterate_2012","candidate_2016","voterate_2016"
"1","01001","AL",5.1,6.9,5.1,"Alabama","Autauga","democrat","Barack Obama",25.8,"Barack Obama",26.6,"Hillary Clinton",23.8
"2","01003","AL",4.6,7.5,5.3,"Alabama","Baldwin","democrat","Barack Obama",23.8,"Barack Obama",21.6,"Hillary Clinton",19.4
"3","01005","AL",8.8,11.5,8.3,"Alabama","Barbour","democrat","Barack Obama",49,"Barack Obama",51.4,"Hillary Clinton",46.5
"4","01007","AL",5.8,8.5,6.4,"Alabama","Bibb","democrat","Barack Obama",26.6,"Barack Obama",26.2,"Hillary Clinton",21.2
"5","01009","AL",4.7,6.9,5.4,"Alabama","Blount","democrat","Barack Obama",14.5,"Barack Obama",12.4,"Hillary Clinton",8.4
"6","01011","AL",10.5,10.4,6.8,"Alabama","Bullock","democrat","Barack Obama",74.1,"Barack Obama",76.3,"Hillary Clinton",74.9
"7","01013","AL",8.5,11.5,6.9,"Alabama","Butler","democrat","Barack Obama",43.1,"Barack Obama",46.1,"Hillary Clinton",42.7
"8","01015","AL",5.7,8.9,6.5,"Alabama","Calhoun","democrat","Barack Obama",33.2,"Barack Obama",33.5,"Hillary Clinton",27.7
"9","01017","AL",14.4,9.9,5.4,"Alabama","Chambers","democrat","Barack Obama",45.5,"Barack Obama",47,"Hillary Clinton",41.6
"10","01019","AL",5.7,8,5,"Alabama","Cherokee","democrat","Barack Obama",23.7,"Barack Obama",21.8,"Hillary Clinton",14.4
"11","01021","AL",5.1,7.2,5.5,"Alabama","Chilton","democrat","Barack Obama",20.7,"Barack Obama",19.5,"Hillary Clinton",15.8
"12","01023","AL",8.3,10.3,8.5,"Alabama","Choctaw","democrat","Barack Obama",46.1,"Barack Obama",47.5,"Hillary Clinton",42.6
"13","01025","AL",9,15,10.8,"Alabama","Clarke","democrat","Barack Obama",44,"Barack Obama",45.7,"Hillary Clinton",44.1
"14","01027","AL",7.9,9.4,5.9,"Alabama","Clay","democrat","Barack Obama",25.8,"Barack Obama",26.7,"Hillary Clinton",18.7
"15","01029","AL",5.1,8.2,6,"Alabama","Cleburne","democrat","Barack Obama",18,"Barack Obama",15.4,"Hillary Clinton",10.4
"16","01031","AL",4.8,7,5.8,"Alabama","Coffee","democrat","Barack Obama",25.2,"Barack Obama",24.9,"Hillary Clinton",20.3
"17","01033","AL",6.5,8.8,6.9,"Alabama","Colbert","democrat","Barack Obama",39.1,"Barack Obama",39.2,"Hillary Clinton",29.3
"18","01035","AL",9.4,11.9,8.4,"Alabama","Conecuh","democrat","Barack Obama",49.4,"Barack Obama",50.6,"Hillary Clinton",46.8
"19","01037","AL",8.3,9.4,6,"Alabama","Coosa","democrat","Barack Obama",40.9,"Barack Obama",41.6,"Hillary Clinton",33.9
"20","01039","AL",5.9,8.4,6.7,"Alabama","Covington","democrat","Barack Obama",20.5,"Barack Obama",20.5,"Hillary Clinton",15
"21","01041","AL",5.6,8.3,5.8,"Alabama","Crenshaw","democrat","Barack Obama",30.8,"Barack Obama",31.9,"Hillary Clinton",26.6
"22","01043","AL",4.9,7.7,5,"Alabama","Cullman","democrat","Barack Obama",16.6,"Barack Obama",14.7,"Hillary Clinton",10
"23","01045","AL",5.4,7.4,5.8,"Alabama","Dale","democrat","Barack Obama",27.3,"Barack Obama",28.5,"Hillary Clinton",23.5
"24","01047","AL",11.1,12.9,9.2,"Alabama","Dallas","democrat","Barack Obama",67.1,"Barack Obama",69.7,"Hillary Clinton",68.3
"25","01049","AL",5.8,9,6,"Alabama","DeKalb","democrat","Barack Obama",23.6,"Barack Obama",22,"Hillary Clinton",14
"26","01051","AL",5.1,6.9,4.7,"Alabama","Elmore","democrat","Barack Obama",24.2,"Barack Obama",25.2,"Hillary Clinton",22.7
"27","01053","AL",7.6,9.2,6.6,"Alabama","Escambia","democrat","Barack Obama",35.4,"Barack Obama",36.9,"Hillary Clinton",31
"28","01055","AL",6,8.2,5.9,"Alabama","Etowah","democrat","Barack Obama",30.2,"Barack Obama",30.1,"Hillary Clinton",23.6
"29","01057","AL",7.2,8.6,6.7,"Alabama","Fayette","democrat","Barack Obama",25.1,"Barack Obama",22.9,"Hillary Clinton",16.5
"30","01059","AL",7.4,8.4,5.9,"Alabama","Franklin","democrat","Barack Obama",29.7,"Barack Obama",29.2,"Hillary Clinton",18.2
"31","01061","AL",5.5,7.6,5.8,"Alabama","Geneva","democrat","Barack Obama",18.3,"Barack Obama",18,"Hillary Clinton",13
"32","01063","AL",8.5,13.6,9.9,"Alabama","Greene","democrat","Barack Obama",83.1,"Barack Obama",84.7,"Hillary Clinton",82.2
"33","01065","AL",7.4,11.5,7.6,"Alabama","Hale","democrat","Barack Obama",60.7,"Barack Obama",62.6,"Hillary Clinton",59.4
"34","01067","AL",7.7,8.3,6.5,"Alabama","Henry","democrat","Barack Obama",34.9,"Barack Obama",35.2,"Hillary Clinton",28.4
"35","01069","AL",4.9,7.5,5.8,"Alabama","Houston","democrat","Barack Obama",29.3,"Barack Obama",29.5,"Hillary Clinton",25
"36","01071","AL",6.2,8.6,6.3,"Alabama","Jackson","democrat","Barack Obama",30.5,"Barack Obama",28.3,"Hillary Clinton",17.5
"37","01073","AL",5.4,7.4,5.7,"Alabama","Jefferson","democrat","Barack Obama",52.2,"Barack Obama",52.6,"Hillary Clinton",51.6
"38","01075","AL",8,7.5,5.6,"Alabama","Lamar","democrat","Barack Obama",22.8,"Barack Obama",23,"Hillary Clinton",14.9
"39","01077","AL",5.7,7.7,6.3,"Alabama","Lauderdale","democrat","Barack Obama",35,"Barack Obama",33.9,"Hillary Clinton",25.2
"40","01079","AL",6.5,9,6.9,"Alabama","Lawrence","democrat","Barack Obama",35.2,"Barack Obama",35.9,"Hillary Clinton",24.5
"41","01081","AL",5.2,6.8,5.2,"Alabama","Lee","democrat","Barack Obama",39.6,"Barack Obama",39.3,"Hillary Clinton",35.9
"42","01083","AL",4.7,6.9,5.2,"Alabama","Limestone","democrat","Barack Obama",28.4,"Barack Obama",27.7,"Hillary Clinton",23.5
"43","01085","AL",10.9,15.4,10.5,"Alabama","Lowndes","democrat","Barack Obama",74.9,"Barack Obama",76.4,"Hillary Clinton",73.1
"44","01087","AL",7.4,10.7,7.6,"Alabama","Macon","democrat","Barack Obama",86.9,"Barack Obama",87,"Hillary Clinton",82.8
"45","01089","AL",4.2,6.9,5.1,"Alabama","Madison","democrat","Barack Obama",41.9,"Barack Obama",40,"Hillary Clinton",38.4
"46","01091","AL",7.4,10.2,7.1,"Alabama","Marengo","democrat","Barack Obama",51.7,"Barack Obama",53.5,"Hillary Clinton",51.1
"47","01093","AL",8,8.9,6.6,"Alabama","Marion","democrat","Barack Obama",21,"Barack Obama",18.6,"Hillary Clinton",11
"48","01095","AL",4.7,7.8,5.3,"Alabama","Marshall","democrat","Barack Obama",21.2,"Barack Obama",19.3,"Hillary Clinton",13.9
"49","01097","AL",5.7,9.2,6.6,"Alabama","Mobile","democrat","Barack Obama",45.3,"Barack Obama",45,"Hillary Clinton",41.8
"50","01099","AL",10.2,12.5,9,"Alabama","Monroe","democrat","Barack Obama",44.7,"Barack Obama",45.9,"Hillary Clinton",42.2
"51","01101","AL",5.9,8.1,5.6,"Alabama","Montgomery","democrat","Barack Obama",59.4,"Barack Obama",61.9,"Hillary Clinton",61.4
"52","01103","AL",5.2,7.8,5.5,"Alabama","Morgan","democrat","Barack Obama",27.5,"Barack Obama",27.2,"Hillary Clinton",22.2
"53","01105","AL",11.3,13.3,10.3,"Alabama","Perry","democrat","Barack Obama",72.4,"Barack Obama",74.9,"Hillary Clinton",72.5
"54","01107","AL",7.1,10.2,6.8,"Alabama","Pickens","democrat","Barack Obama",45.6,"Barack Obama",46.4,"Hillary Clinton",41.6
"55","01109","AL",4.9,8,6.5,"Alabama","Pike","democrat","Barack Obama",42.1,"Barack Obama",42.8,"Hillary Clinton",38.4
