"account_id","open_date","statement_frequency","district_name","num_customers","credit_cards","loan_amount","loan_payments","loan_term","loan_status","loan_default","loan","max_withdrawal","min_withdrawal","cc_payments","max_balance","min_balance"
"1",1995-03-24,"monthly","Pisek",1,0,NA,NA,NA,NA,NA,"F",2452,2452,102,30415,1000
"2",1993-02-26,"monthly","Hl.m. Praha",2,0,80952,3373,24,"expired","F","T",7266,3372.7,152,69302,1100
"3",1997-07-07,"monthly","Kolin",2,0,NA,NA,NA,NA,NA,"F",3539,327,46,53447,1000
"4",1996-02-21,"monthly","Pribram",1,0,NA,NA,NA,NA,NA,"F",2078,1285,65,34870,800
"5",1997-05-30,"monthly","Cesky Krumlov",1,0,NA,NA,NA,NA,NA,"F",2668,2668,35,32036,600
"6",1994-09-27,"monthly","Trutnov",1,0,NA,NA,NA,NA,NA,"F",3954,3954,99,51879,900
"7",1996-11-24,"monthly","Prostejov",1,0,NA,NA,NA,NA,NA,"F",4880,4880,51,99675,900
"8",1995-09-21,"monthly","Hodonin",2,0,NA,NA,NA,NA,NA,"F",6712,2612,84,79255,900
"9",1993-01-27,"monthly","Karvina",1,1,NA,NA,NA,NA,NA,"F",NA,NA,183,85444,400
"10",1996-08-28,"monthly","Brno - mesto",1,0,NA,NA,NA,NA,NA,"F",7033,1344,59,83410,1100
"11",1995-10-10,"monthly","Sumperk",1,0,NA,NA,NA,NA,NA,"F",2132,2132,79,40389,300
"12",1997-04-15,"monthly","Tabor",2,0,NA,NA,NA,NA,NA,"F",3295,297,39,29053,1100
"13",1997-08-17,"monthly","Sumperk",2,0,NA,NA,NA,NA,NA,"F",2444,2444,31,29751,1000
"14",1996-11-27,"monthly","Pardubice",1,0,NA,NA,NA,NA,NA,"F",3629,3629,52,59453,400
"15",1993-10-02,"monthly","Karvina",1,0,NA,NA,NA,NA,NA,"F",3072,3072,129,66671,800
"16",1997-09-23,"monthly","Pribram",1,0,NA,NA,NA,NA,NA,"F",NA,NA,32,60274,500
"17",1997-01-08,"monthly","Hl.m. Praha",2,0,NA,NA,NA,NA,NA,"F",4032,4032,33,100815,700
"18",1993-05-26,"weekly","Hradec Kralove",1,0,NA,NA,NA,NA,NA,"F",NA,NA,156,155603,576
"19",1995-04-07,"monthly","Tabor",1,1,30276,2523,12,"expired","F","T",2523.2,2523.2,152,58158,-10605
"20",1996-08-24,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",2003,2003,53,20458,500
"21",1997-12-06,"monthly","Brno - mesto",1,0,NA,NA,NA,NA,NA,"F",6276,6276,34,61685,1100
"22",1994-03-23,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",6352,6352,118,68160,1100
"23",1993-05-22,"monthly","Sokolov",1,0,NA,NA,NA,NA,NA,"F",5807,5807,137,95299,800
"24",1996-12-05,"monthly","Ostrava - mesto",1,0,NA,NA,NA,NA,NA,"F",7641,221,52,49091,1000
"25",1996-07-28,"monthly","Frydek - Mistek",1,0,30276,2523,12,"expired","F","T",6817,164,82,134210,900
"26",1993-08-08,"monthly","Usti nad Orlici",1,0,NA,NA,NA,NA,NA,"F",10387,10387,133,83469,800
"27",1993-09-26,"monthly","Opava",1,0,NA,NA,NA,NA,NA,"F",4054,4054,135,40464,900
"29",1994-11-24,"monthly","Melnik",2,0,NA,NA,NA,NA,NA,"F",6871,8,100,59950,700
"30",1995-03-04,"monthly","Liberec",1,0,NA,NA,NA,NA,NA,"F",2480.2,2480.2,130,149154,400
"31",1994-04-27,"monthly","Frydek - Mistek",1,0,NA,NA,NA,NA,NA,"F",10202,10202,164,137131,800
"32",1995-08-28,"monthly","Kolin",1,0,NA,NA,NA,NA,NA,"F",NA,NA,82,90565,700
"33",1993-08-26,"monthly","Domazlice",1,0,NA,NA,NA,NA,NA,"F",3892,3892,131,123696,600
"34",1993-09-17,"weekly","Bruntal",1,0,NA,NA,NA,NA,NA,"F",6070,502,127,94580,600
"35",1993-07-07,"monthly","Prerov",1,0,NA,NA,NA,NA,NA,"F",1362,1022,127,32520,600
"36",1993-07-01,"monthly","Hl.m. Praha",1,0,NA,NA,NA,NA,NA,"F",4069,4069,134,85055,500
"37",1997-08-18,"monthly","Strakonice",1,0,318480,5308,60,"current","T","T",5307.5,97,36,104762,-1011
"38",1997-08-08,"weekly","Prachatice",1,0,110736,2307,48,"current","F","T",6901,228,48,55991,13841
"39",1993-09-22,"monthly","Liberec",1,0,NA,NA,NA,NA,NA,"F",2970,145,124,36322,1100
"40",1993-10-25,"monthly","Zlin",1,0,NA,NA,NA,NA,NA,"F",4301,33,133,41560,700
