"account_id","date","amount","payments","id","loanduration","loantype"
"2",1994-01-05,80952,3373,"4959",24,"A"
"19",1996-04-29,30276,2523,"4961",12,"B"
"25",1997-12-08,30276,2523,"4962",12,"A"
"37",1998-10-14,318480,5308,"4967",60,"D"
"38",1998-04-19,110736,2307,"4968",48,"C"
"67",1996-05-02,165960,6915,"4973",24,"A"
"97",1997-08-10,102876,8573,"4986",12,"A"
"103",1997-12-06,265320,7370,"4988",36,"D"
"105",1998-12-05,352704,7348,"4989",48,"C"
"110",1997-09-08,162576,4516,"4990",36,"C"
"132",1996-11-06,88440,7370,"4996",12,"A"
"173",1994-05-31,104808,8734,"5002",12,"A"
"176",1997-04-10,27456,2288,"5005",12,"A"
"226",1998-07-12,109344,9112,"5015",12,"C"
"276",1998-12-02,160920,4470,"5027",36,"C"
"290",1994-11-03,123696,2577,"5032",48,"A"
"303",1998-05-30,112752,3132,"5034",36,"C"
"309",1998-11-25,91248,1901,"5036",48,"C"
"314",1997-05-03,66840,2785,"5039",24,"C"
"319",1997-07-11,369000,6150,"5041",60,"C"
"330",1998-07-12,331584,6908,"5042",48,"C"
"339",1997-12-25,468060,7801,"5043",60,"C"
"344",1994-12-21,100980,1683,"5044",60,"C"
"347",1995-05-01,187224,7801,"5045",24,"B"
"349",1998-09-09,42816,3568,"5046",12,"C"
"378",1997-10-11,230400,3840,"5051",60,"C"
"426",1994-07-19,252060,4201,"5060",60,"D"
"440",1998-03-13,84288,1756,"5061",48,"C"
"442",1997-07-10,357840,7455,"5063",48,"D"
"472",1997-04-28,196800,8200,"5072",24,"D"
"501",1996-10-24,262980,4383,"5082",60,"C"
"525",1997-07-16,210384,4383,"5086",48,"C"
"544",1996-08-22,91152,3798,"5088",24,"A"
"666",1997-11-28,12540,1045,"5103",12,"A"
"675",1997-04-01,102240,1704,"5110",60,"C"
"718",1997-08-20,76944,6412,"5117",12,"A"
"785",1998-02-12,156096,4336,"5124",36,"C"
"789",1995-11-23,73056,1522,"5125",48,"C"
"790",1994-07-24,208128,4336,"5126",48,"B"
"808",1996-04-11,215616,4492,"5128",48,"D"
"813",1994-05-11,24312,2026,"5130",12,"A"
"816",1995-01-08,48624,2026,"5131",24,"A"
"817",1995-02-17,538500,8975,"5132",60,"C"
"825",1997-02-02,53076,4423,"5134",12,"A"
"846",1996-07-28,187104,7796,"5136",24,"A"
"854",1995-05-30,87216,1817,"5138",48,"C"
"873",1998-02-24,178500,2975,"5140",60,"C"
"915",1995-09-16,309552,6449,"5145",48,"C"
"938",1998-05-21,22260,371,"5147",60,"C"
"940",1996-05-29,284280,4738,"5148",60,"C"
"960",1995-05-24,189060,3151,"5151",60,"C"
"993",1998-07-01,108720,1812,"5154",60,"C"
"1004",1998-04-11,188532,5237,"5158",36,"C"
"1011",1995-12-18,204000,3400,"5160",60,"C"
"1012",1994-10-28,98184,4091,"5161",24,"A"
"1068",1998-09-24,253200,4220,"5169",60,"C"
"1071",1994-01-20,253200,4220,"5170",60,"C"
"1083",1998-04-16,50976,1416,"5172",36,"C"
"1093",1997-06-13,385104,8023,"5174",48,"C"
"1106",1994-11-12,192552,8023,"5176",24,"B"
"1166",1994-02-07,149040,3105,"5189",48,"A"
"1242",1997-09-07,128544,5356,"5206",24,"C"
"1244",1997-02-28,35904,748,"5207",48,"C"
"1247",1995-03-16,99696,2077,"5208",48,"D"
"1250",1996-11-25,182640,3805,"5209",48,"C"
"1252",1997-04-01,148140,4115,"5210",36,"C"
"1256",1995-05-29,71064,1974,"5212",36,"A"
"1270",1997-07-01,74772,2077,"5214",36,"C"
"1284",1998-12-05,52512,4376,"5221",12,"C"
"1318",1998-10-11,185544,5154,"5226",36,"C"
"1329",1997-09-06,23520,1960,"5229",12,"A"
"1374",1997-09-15,389136,8107,"5236",48,"C"
"1375",1995-08-29,45336,1889,"5237",24,"A"
"1389",1998-09-02,125472,5228,"5241",24,"C"
"1407",1998-01-17,125472,5228,"5245",24,"C"
"1447",1997-06-03,100080,2085,"5253",48,"C"
"1480",1998-01-19,123300,3425,"5260",36,"C"
"1498",1998-10-07,165780,2763,"5265",60,"C"
"1527",1994-11-19,164052,4557,"5269",36,"B"
"1528",1997-07-21,191088,3981,"5270",48,"C"
"1580",1997-11-27,194256,8094,"5281",24,"C"
"1583",1996-08-24,388512,8094,"5282",48,"D"
"1603",1994-02-06,78936,6578,"5285",12,"A"
"1638",1998-01-26,64224,2676,"5287",24,"C"
"1656",1998-10-29,189792,3954,"5293",48,"C"
"1698",1996-07-06,141948,3943,"5301",36,"C"
"1718",1998-08-20,172272,7178,"5304",24,"C"
"1762",1995-04-28,248148,6893,"5310",36,"A"
"1766",1996-06-15,30060,501,"5311",60,"C"
"1772",1996-03-13,202788,5633,"5312",36,"C"
"1776",1998-05-27,43200,1800,"5313",24,"C"
"1787",1993-07-05,96396,8033,"5314",12,"B"
"1801",1993-07-11,165960,4610,"5316",36,"A"
"1808",1998-09-30,385584,8033,"5318",48,"C"
"1811",1994-06-23,239460,3991,"5319",60,"C"
"1819",1998-01-11,143676,3991,"5320",36,"C"
"1843",1993-08-03,105804,2939,"5325",36,"A"
"1862",1996-10-16,396120,6602,"5329",60,"C"
"1869",1998-01-29,37944,1054,"5332",36,"C"
"1876",1998-09-10,209040,8710,"5334",24,"C"
"1886",1996-07-31,162468,4513,"5337",36,"C"
"1888",1997-08-30,57360,4780,"5338",12,"B"
"1906",1997-10-08,44952,1873,"5343",24,"C"
"1928",1998-12-06,55632,2318,"5346",24,"C"
"1967",1996-04-21,249312,5194,"5350",48,"C"
"1978",1994-12-04,205200,5700,"5351",36,"A"
"1993",1995-04-15,68400,5700,"5352",12,"B"
"2000",1998-07-14,290820,4847,"5354",60,"C"
"2018",1997-01-21,38520,3210,"5358",12,"A"
"2035",1998-01-25,176328,4898,"5360",36,"C"
"2051",1997-04-22,293880,4898,"5363",60,"D"
"2055",1998-07-19,271260,4521,"5365",60,"C"
"2062",1996-10-29,86184,7182,"5366",12,"A"
"2064",1997-08-26,83628,2323,"5367",36,"C"
"2073",1998-10-05,44640,1860,"5368",24,"C"
"2080",1997-09-12,214596,5961,"5369",36,"C"
"2106",1996-10-03,101520,8460,"5375",12,"A"
"2116",1997-08-04,92400,7700,"5377",12,"A"
"2134",1997-03-17,22932,637,"5382",36,"C"
"2142",1998-03-07,23328,1944,"5384",12,"C"
"2143",1996-09-09,71460,1985,"5385",36,"C"
"2153",1996-11-28,61560,5130,"5388",12,"A"
"2165",1997-08-22,78600,3275,"5389",24,"C"
"2167",1994-10-30,170256,7094,"5390",24,"A"
"2176",1994-07-30,299088,8308,"5395",36,"B"
"2187",1997-11-04,53472,4456,"5398",12,"A"
"2218",1995-11-18,182040,3034,"5409",60,"C"
"2227",1995-12-12,92976,3874,"5413",24,"A"
"2228",1995-03-29,185952,3874,"5414",48,"C"
"2236",1996-09-26,139464,3874,"5415",36,"D"
"2245",1995-01-16,347952,7249,"5418",48,"C"
"2246",1997-02-05,415800,6930,"5419",60,"C"
"2247",1997-02-24,72504,3021,"5420",24,"C"
"2262",1998-12-02,230220,6395,"5428",36,"C"
"2268",1996-07-18,20196,561,"5429",36,"C"
"2279",1998-06-01,314688,6556,"5435",48,"C"
"2322",1996-06-29,46320,1930,"5445",24,"A"
"2334",1997-08-04,48312,2013,"5446",24,"C"
"2335",1997-11-12,541200,9020,"5447",60,"D"
"2343",1995-11-04,99336,4139,"5449",24,"A"
"2345",1994-12-11,199680,3328,"5450",60,"C"
"2350",1997-05-11,159744,3328,"5451",48,"C"
"2352",1996-04-29,49440,824,"5452",60,"C"
"2361",1995-04-01,156672,4352,"5453",36,"A"
"2413",1998-10-06,17952,1496,"5463",12,"C"
"2419",1995-01-30,95808,7984,"5464",12,"A"
"2445",1997-12-26,293160,4886,"5469",60,"C"
"2456",1996-04-15,200976,4187,"5470",48,"C"
"2486",1994-01-10,24516,2043,"5479",12,"A"
"2496",1996-01-12,165120,2752,"5482",60,"C"
"2516",1997-06-13,466608,9721,"5486",48,"C"
"2545",1998-02-13,428784,8933,"5491",48,"C"
"2572",1996-06-13,360000,7500,"5494",48,"C"
"2580",1996-08-02,89340,1489,"5495",60,"C"
"2622",1998-05-21,136344,5681,"5501",24,"C"
"2694",1994-03-08,91632,7636,"5519",12,"A"
"2699",1998-08-30,231168,4816,"5520",48,"C"
"2705",1993-12-08,93888,2608,"5523",36,"A"
"2720",1998-04-27,93888,2608,"5525",36,"C"
"2725",1998-11-08,69624,1934,"5526",36,"C"
"2728",1998-06-15,156420,2607,"5527",60,"C"
"2753",1997-09-30,66432,2768,"5531",24,"C"
"2754",1997-05-04,335280,6985,"5532",48,"C"
"2762",1994-07-05,111384,4641,"5533",24,"A"
"2824",1994-07-16,50460,841,"5549",60,"C"
"2872",1997-05-19,268320,4472,"5556",60,"C"
"2910",1998-08-29,437460,7291,"5561",60,"C"
"2912",1996-02-29,380160,6336,"5563",60,"C"
"2933",1994-05-17,272520,4542,"5568",60,"C"
"2936",1998-01-20,504000,8400,"5569",60,"C"
"2962",1994-12-21,31248,2604,"5576",12,"A"
"2982",1998-04-17,41256,3438,"5582",12,"C"
"2986",1997-12-06,24792,1033,"5584",24,"C"
"2988",1998-07-08,88608,7384,"5585",12,"C"
"2994",1996-09-14,48744,1354,"5586",36,"C"
"3005",1998-06-05,390000,8125,"5589",48,"C"
"3021",1996-12-04,155616,3242,"5591",48,"C"
"3037",1996-04-18,277884,7719,"5593",36,"D"
"3050",1994-09-02,82896,6908,"5595",12,"A"
"3064",1995-03-21,15420,1285,"5599",12,"A"
"3084",1996-08-28,253512,7042,"5606",36,"D"
"3112",1996-02-24,123216,2567,"5610",48,"C"
"3115",1996-11-15,321180,5353,"5611",60,"C"
"3137",1998-09-21,253560,4226,"5614",60,"C"
"3143",1998-05-15,130896,5454,"5616",24,"C"
"3161",1998-06-16,30012,2501,"5620",12,"C"
"3166",1995-01-03,177744,3703,"5624",48,"D"
"3189",1996-12-15,222180,3703,"5625",60,"D"
"3229",1997-05-01,39024,3252,"5634",12,"A"
"3230",1996-10-04,77184,2144,"5635",36,"C"
"3249",1997-08-27,68124,5677,"5638",12,"A"
"3273",1997-09-21,94512,7876,"5643",12,"B"
"3293",1998-11-27,276084,7669,"5644",36,"C"
"3329",1997-12-08,19248,1604,"5651",12,"A"
"3353",1997-02-09,146064,6086,"5656",24,"C"
"3354",1994-07-05,4980,415,"5657",12,"A"
"3390",1998-03-11,40632,3386,"5665",12,"C"
"3403",1998-06-27,71820,1995,"5669",36,"C"
"3418",1997-06-10,207264,4318,"5674",48,"C"
"3448",1997-10-20,68664,2861,"5681",24,"C"
"3455",1997-03-07,67464,5622,"5682",12,"A"
"3460",1998-05-29,140688,2931,"5683",48,"C"
"3489",1995-08-01,44088,1837,"5693",24,"A"
"3556",1998-09-22,174840,2914,"5698",60,"C"
"3562",1998-05-24,174960,7290,"5699",24,"C"
"3608",1996-05-24,161496,4486,"5706",36,"C"
"3629",1995-05-30,158760,2646,"5713",60,"C"
"3637",1997-09-01,14028,1169,"5718",12,"A"
"3664",1997-09-20,271584,5658,"5719",48,"C"
"3674",1994-09-10,23628,1969,"5723",12,"A"
"3678",1995-02-05,316140,5269,"5724",60,"D"
